SID,ID,Grade,Homeroom,Consent
S2-14-07,148967,2,MITTMAN,1
S2-19-18,148973,2,ZORRILLA,1
S2-16-02,148994,2,PERRY/KEENAN,
S2-06-01,149008,2,EMONT,
S2-06-04,149126,2,EMONT,
S2-13-18,149254,2,MEJIA/BRADBURY,1
S2-06-03,149279,2,EMONT,
S2-14-02,149317,2,MITTMAN,1
S2-18-18,149322,2,WOODING,
S2-13-09,149340,2,MEJIA/BRADBURY,1
S2-14-04,149364,2,MITTMAN,
S1-00-01,149380,1,,
S2-17-11,149400,2,RENTAS,1
S2-17-06,149401,2,RENTAS,1
S2-01-01,149405,2,BALUJA,
S2-13-06,149429,2,MEJIA/BRADBURY,1
S2-19-02,149558,2,ZORRILLA,
S2-14-01,149559,2,MITTMAN,
S2-16-04,149573,2,PERRY/KEENAN,1
S2-03-12,149591,2,CHUN,1
S2-13-02,149607,2,MEJIA/BRADBURY,1
S2-19-10,149619,2,ZORRILLA,
S2-09-12,149652,2,HUNTER/PIERIES,
S2-15-01,149656,2,PAZYMINO,1
S2-19-17,149669,2,ZORRILLA,
S2-03-16,149679,2,CHUN,
S2-18-21,149680,2,WOODING,
S2-10-13,149707,2,KANE,1
S1-04-02,149717,1,D'IZZIA/JANO,
S2-14-03,149764,2,MITTMAN,
S1-02-03,149790,1,BURKE/HALL,1
S1-09-11,149913,1,MARGULIES,1
S2-06-02,149914,2,EMONT,
S2-16-19,149917,2,PERRY/KEENAN,1
S1-06-05,149921,1,GIGANTI/CHAMBERS,1
S1-02-18,149929,1,BURKE/HALL,
S1-04-01,149934,1,D'IZZIA/JANO,1
S1-13-05,149947,1,ROMANO,
S1-06-06,149969,1,GIGANTI/CHAMBERS,
S1-02-17,149978,1,BURKE/HALL,1
S1-05-01,149982,1,EMONT,
S2-14-08,149989,2,MITTMAN,
S1-02-04,149993,1,BURKE/HALL,
S1-02-09,149996,1,BURKE/HALL,1
S2-13-17,149999,2,MEJIA/BRADBURY,1
S1-05-02,150009,1,EMONT,
S1-04-11,150010,1,D'IZZIA/JANO,1
S2-13-01,150035,2,MEJIA/BRADBURY,1
S2-10-02,150037,2,KANE,1
S2-04-01,150038,2,CSASZAR,1
S2-17-01,150039,2,RENTAS,
S2-17-02,150041,2,RENTAS,1
S2-17-03,150042,2,RENTAS,1
S2-18-01,150044,2,WOODING,1
S2-18-02,150046,2,WOODING,1
S2-18-03,150052,2,WOODING,
S2-04-04,150053,2,CSASZAR,
S2-04-05,150054,2,CSASZAR,1
S2-04-06,150055,2,CSASZAR,
S2-18-05,150060,2,WOODING,
S2-10-06,150061,2,KANE,
S2-19-03,150062,2,ZORRILLA,1
S2-13-05,150063,2,MEJIA/BRADBURY,1
S2-10-07,150064,2,KANE,
S2-16-03,150066,2,PERRY/KEENAN,
S2-03-01,150067,2,CHUN,1
S2-19-04,150068,2,ZORRILLA,1
S2-17-07,150069,2,RENTAS,1
S2-19-05,150070,2,ZORRILLA,1
S2-17-08,150071,2,RENTAS,1
S2-17-04,150073,2,RENTAS,1
S2-13-07,150074,2,MEJIA/BRADBURY,
S2-04-08,150076,2,CSASZAR,1
S2-19-07,150078,2,ZORRILLA,1
S2-13-08,150079,2,MEJIA/BRADBURY,
S2-04-10,150080,2,CSASZAR,1
S2-18-09,150083,2,WOODING,1
S2-04-09,150084,2,CSASZAR,1
S2-09-03,150086,2,HUNTER/PIERIES,
S2-13-10,150087,2,MEJIA/BRADBURY,
S2-17-10,150088,2,RENTAS,1
S2-18-11,150090,2,WOODING,1
S2-18-12,150091,2,WOODING,1
S2-17-12,150095,2,RENTAS,1
S2-04-11,150096,2,CSASZAR,1
S2-16-07,150097,2,PERRY/KEENAN,1
S2-10-10,150098,2,KANE,1
S2-19-09,150099,2,ZORRILLA,1
S2-09-07,150101,2,HUNTER/PIERIES,1
S2-14-06,150102,2,MITTMAN,1
S2-18-16,150105,2,WOODING,1
