sitting_id,trial,duration,start_time,type,correctResponse,response,correct,rt
1153937,1,25,"2015-09-02 13:01:06",prac_test,3,3,1,1158
1153937,2,25,"2015-09-02 13:01:06",prac_test,1,1,1,1619
1153937,3,25,"2015-09-02 13:01:06",inst2,0,0,1,880
1153937,4,25,"2015-09-02 13:01:06",testbig,2,2,1,794
1153937,5,25,"2015-09-02 13:01:06",test,1,1,1,1292
1153937,6,25,"2015-09-02 13:01:06",test,4,4,1,1845
1153937,7,25,"2015-09-02 13:01:06",test,3,3,1,717
1153937,8,25,"2015-09-02 13:01:06",test,1,1,1,637
1153937,9,25,"2015-09-02 13:01:06",test,3,3,1,1125
1153937,10,25,"2015-09-02 13:01:06",test,3,3,1,284
1153937,11,25,"2015-09-02 13:01:06",test,4,3,0,140
1154153,1,367,"2015-09-02 16:56:48",prac_test,3,3,1,2321
1154153,2,367,"2015-09-02 16:56:48",prac_test,1,1,1,1876
1154153,3,367,"2015-09-02 16:56:48",inst2,0,0,1,7097
1154153,4,367,"2015-09-02 16:56:48",testbig,2,2,1,2757
1154153,5,367,"2015-09-02 16:56:48",test,1,1,1,3294
1154153,6,367,"2015-09-02 16:56:48",test,4,4,1,4807
1154153,7,367,"2015-09-02 16:56:48",test,3,3,1,1692
1154153,8,367,"2015-09-02 16:56:48",test,1,1,1,2115
1154153,9,367,"2015-09-02 16:56:48",test,3,3,1,2101
1154153,10,367,"2015-09-02 16:56:48",test,3,3,1,8250
1154153,11,367,"2015-09-02 16:56:48",test,4,4,1,4507
1154153,12,367,"2015-09-02 16:56:48",test,4,4,1,3725
1154153,13,367,"2015-09-02 16:56:48",test,1,1,1,3146
1154153,14,367,"2015-09-02 16:56:48",test,5,5,1,4271
1154153,15,367,"2015-09-02 16:56:48",test,1,1,1,3936
1154153,16,367,"2015-09-02 16:56:48",test,2,2,1,4032
1154153,17,367,"2015-09-02 16:56:48",test,3,3,1,2687
1154153,18,367,"2015-09-02 16:56:48",test,2,2,1,3108
1154153,19,367,"2015-09-02 16:56:48",test,5,5,1,4532
1154153,20,367,"2015-09-02 16:56:48",test,4,4,1,5528
1154153,21,367,"2015-09-02 16:56:48",test,2,2,1,11358
1154153,22,367,"2015-09-02 16:56:48",test,1,1,1,3894
1154153,23,367,"2015-09-02 16:56:48",test,2,2,1,6699
1154153,24,367,"2015-09-02 16:56:48",test,5,5,1,15119
1154153,25,367,"2015-09-02 16:56:48",testsmall,3,3,1,7609
1154153,26,367,"2015-09-02 16:56:48",test,1,1,1,3327
1154153,27,367,"2015-09-02 16:56:48",testbig,3,3,1,5797
1154153,28,367,"2015-09-02 16:56:48",test,4,4,1,9119
1154153,29,367,"2015-09-02 16:56:48",test,3,3,1,14736
1154153,30,367,"2015-09-02 16:56:48",testbig,5,1,0,15805
1154153,31,367,"2015-09-02 16:56:48",testbig,4,4,1,17892
1154153,32,367,"2015-09-02 16:56:48",test,5,5,1,5395
1154153,33,367,"2015-09-02 16:56:48",test,4,3,0,14072
1154153,34,367,"2015-09-02 16:56:48",test,1,1,1,40278
1154153,35,367,"2015-09-02 16:56:48",testsmall,5,5,1,13335
1154153,36,367,"2015-09-02 16:56:48",test,3,2,0,20101
1154153,37,367,"2015-09-02 16:56:48",test,3,3,1,6858
1154153,38,367,"2015-09-02 16:56:48",testbig,1,4,0,6435
1154167,1,61,"2015-09-02 17:28:05",prac_test,3,3,1,1696
1154167,2,61,"2015-09-02 17:28:05",prac_test,1,1,1,2038
1154167,3,61,"2015-09-02 17:28:05",inst2,0,0,1,912
1154167,4,61,"2015-09-02 17:28:05",testbig,2,2,1,1182
1154167,5,61,"2015-09-02 17:28:05",test,1,4,0,2280
1154167,6,61,"2015-09-02 17:28:05",test,4,4,1,434
1154167,7,61,"2015-09-02 17:28:05",test,3,4,0,397
1154167,8,61,"2015-09-02 17:28:05",test,1,4,0,401
1154167,9,61,"2015-09-02 17:28:05",test,3,4,0,315
1154434,1,214,"2015-09-02 23:41:48",prac_test,3,3,1,1546
1154434,2,214,"2015-09-02 23:41:48",prac_test,1,1,1,1030
1154434,3,214,"2015-09-02 23:41:48",inst2,0,0,1,1328
1154434,4,214,"2015-09-02 23:41:48",testbig,2,2,1,1183
1154434,5,214,"2015-09-02 23:41:48",test,1,1,1,2375
1154434,6,214,"2015-09-02 23:41:48",test,4,4,1,1983
1154434,7,214,"2015-09-02 23:41:48",test,3,3,1,1985
1154434,8,214,"2015-09-02 23:41:48",test,1,1,1,982
1155345,1,12,"2015-09-03 17:07:06",prac_test,3,3,1,1281
1155345,2,12,"2015-09-03 17:07:06",prac_test,1,1,1,570
1155345,3,12,"2015-09-03 17:07:06",inst2,0,0,1,816
1155345,4,12,"2015-09-03 17:07:06",testbig,2,2,1,562
1155345,5,12,"2015-09-03 17:07:06",test,1,2,0,229
1155345,6,12,"2015-09-03 17:07:06",test,4,2,0,142
1155345,7,12,"2015-09-03 17:07:06",test,3,2,0,86
1156277,1,51,"2015-09-04 15:07:54",prac_test,3,3,1,6519
1156277,2,51,"2015-09-04 15:07:54",prac_test,1,1,1,6964
1156277,3,51,"2015-09-04 15:07:54",inst2,0,0,1,10706
1156277,4,51,"2015-09-04 15:07:54",testbig,2,2,1,3889
1156277,5,51,"2015-09-04 15:07:54",test,1,2,0,633
1156277,6,51,"2015-09-04 15:07:54",test,4,4,1,1174
1156277,7,51,"2015-09-04 15:07:54",test,3,2,0,624
1156277,8,51,"2015-09-04 15:07:54",test,1,1,1,1093
1156277,9,51,"2015-09-04 15:07:54",test,3,5,0,702
1156277,10,51,"2015-09-04 15:07:54",test,3,3,1,464
1156277,11,51,"2015-09-04 15:07:54",test,4,5,0,388
1156277,12,51,"2015-09-04 15:07:54",test,4,5,0,296
1156277,13,51,"2015-09-04 15:07:54",test,1,5,0,894
1156351,1,114,"2015-09-04 16:17:19",prac_test,3,3,1,847
1156351,2,114,"2015-09-04 16:17:19",prac_test,1,1,1,5043
1156351,3,114,"2015-09-04 16:17:19",inst2,0,0,1,22184
1156351,4,114,"2015-09-04 16:17:19",testbig,2,4,0,2988
1156351,5,114,"2015-09-04 16:17:19",test,1,3,0,3182
1156351,6,114,"2015-09-04 16:17:19",test,4,1,0,576
1156353,1,26,"2015-09-04 16:19:29",prac_test,3,3,1,968
1156353,2,26,"2015-09-04 16:19:29",prac_test,1,1,1,804
1156353,3,26,"2015-09-04 16:19:29",inst2,0,0,1,582
1156353,4,26,"2015-09-04 16:19:29",testbig,2,2,1,1145
1156353,5,26,"2015-09-04 16:19:29",test,1,1,1,1694
1156353,6,26,"2015-09-04 16:19:29",test,4,2,0,1071
1156353,7,26,"2015-09-04 16:19:29",test,3,3,1,1323
1156353,8,26,"2015-09-04 16:19:29",test,1,1,1,1066
1156353,9,26,"2015-09-04 16:19:29",test,3,2,0,1083
1156353,10,26,"2015-09-04 16:19:29",test,3,1,0,1707
1156353,11,26,"2015-09-04 16:19:29",test,4,1,0,2001
1157007,1,104,"2015-09-05 12:23:27",prac_test,3,3,1,16687
1157007,2,104,"2015-09-05 12:23:27",prac_test,1,1,1,913
1157007,3,104,"2015-09-05 12:23:27",inst2,0,0,1,728
1157007,4,104,"2015-09-05 12:23:27",testbig,2,2,1,1217
1157007,5,104,"2015-09-05 12:23:27",test,1,1,1,1324
1157007,6,104,"2015-09-05 12:23:27",test,4,2,0,1362
1157007,7,104,"2015-09-05 12:23:27",test,3,2,0,315
1157007,8,104,"2015-09-05 12:23:27",test,1,2,0,252
