SubjectID,Ethnicity,Grade_2015,Room_2015,Consent_2015,Done_2015,Room_2016,Age_T1,Group
S1-02-03,H,1,BURKE/HALL,1,1,BURKE/HALL,6.810958904,Control
S1-02-08,B,1,BURKE/HALL,1,1,BURKE/HALL,6.909589041,Control
S1-02-15,B,1,BURKE/HALL,1,1,BURKE/HALL,6.775342466,Control
S1-02-17,H,1,BURKE/HALL,1,1,BURKE/HALL,6.443835616,Control
S1-03-04,B,1,CAPILLI,1,1,CAPILLI,6.153424658,MA
S1-03-05,W,1,CAPILLI,1,1,CAPILLI,6.095890411,MA
S1-03-06,H,1,CAPILLI,1,1,CAPILLI,6.342465753,MA
S1-03-09,B,1,CAPILLI,1,1,CAPILLI,6.816438356,MA
S1-03-14,M,1,CAPILLI,1,1,CAPILLI,6.191780822,MA
S1-03-15,H,1,CAPILLI,1,1,CAPILLI,6.739726027,MA
S1-04-01,W,1,D'IZZIA/JANO,1,1,D'IZZIA/JANO,6.578082192,MA
S1-04-03,B,1,D'IZZIA/JANO,1,1,D'IZZIA/JANO,6.142465753,MA
S1-04-04,M,1,D'IZZIA/JANO,1,1,D'IZZIA/JANO,6.249315068,MA
S1-04-07,B,1,D'IZZIA/JANO,1,1,D'IZZIA/JANO,6.098630137,MA
S1-04-08,H,1,D'IZZIA/JANO,1,1,D'IZZIA/JANO,5.947945205,MA
S1-04-11,H,1,D'IZZIA/JANO,1,1,D'IZZIA/JANO,6.120547945,MA
S1-04-17,A,1,D'IZZIA/JANO,1,1,D'IZZIA/JANO,6.323287671,MA
S1-04-18,A,1,D'IZZIA/JANO,1,1,D'IZZIA/JANO,6.575342466,MA
S1-07-02,H,1,GUTIERREZ,1,1,GUTIERREZ,6.504109589,Control
S1-07-05,H,1,GUTIERREZ,1,1,GUTIERREZ,6.339726027,Control
S1-07-11,B,1,GUTIERREZ,1,1,GUTIERREZ,6.457534247,Control
S1-07-18,H,1,GUTIERREZ,1,1,GUTIERREZ,6.975342466,Control
S1-07-20,H,1,GUTIERREZ,1,1,GUTIERREZ,6.928767123,Control
S1-09-01,H,1,MARGULIES,1,1,MARGULIES,7.112328767,Control
S1-09-05,B,1,MARGULIES,1,1,MARGULIES,6.84109589,Control
S1-09-06,M,1,MARGULIES,1,1,MARGULIES,6.219178082,Control
S1-09-07,H,1,MARGULIES,1,1,MARGULIES,7.457534247,Control
S1-09-11,B,1,MARGULIES,1,1,MARGULIES,6.646575342,Control
S1-09-18,H,1,MARGULIES,1,1,MARGULIES,6.536986301,Control
S1-09-19,H,1,MARGULIES,1,1,MARGULIES,6.876712329,Control
S1-10-01,H,1,MATA,1,1,MATA,6.104109589,MA
S1-10-02,H,1,MATA,1,1,MATA,6.690410959,MA
S1-10-06,H,1,MATA,1,1,MATA,6.561643836,MA
S1-10-07,H,1,MATA,1,1,MATA,6.654794521,MA
S1-10-08,H,1,MATA,1,1,MATA,6.139726027,MA
S1-10-09,H,1,MATA,1,1,MATA,6.783561644,MA
S1-10-12,H,1,MATA,1,1,MATA,6.695890411,MA
S1-10-13,H,1,MATA,1,1,MATA,6.668493151,MA
S1-11-01,M,1,MEEKS,1,1,MEEKS,6.391780822,MA
S1-11-02,A,1,MEEKS,1,1,MEEKS,5.947945205,MA
S1-11-03,B,1,MEEKS,1,1,MEEKS,6.463013699,MA
S1-11-04,B,1,MEEKS,1,1,MEEKS,6.224657534,MA
S1-11-09,H,1,MEEKS,1,1,MEEKS,6.216438356,MA
S1-11-10,H,1,MEEKS,1,1,MEEKS,6.367123288,MA
S1-11-11,B,1,MEEKS,1,1,MEEKS,6.002739726,MA
S1-11-17,B,1,MEEKS,1,1,MEEKS,7.150684932,MA
S1-12-01,H,1,PAZYMINO,1,1,PAZYMINO,6.106849315,Control
S1-12-02,H,1,PAZYMINO,1,1,PAZYMINO,6.367123288,Control
S1-12-04,H,1,PAZYMINO,1,1,PAZYMINO,5.947945205,Control
S1-12-05,H,1,PAZYMINO,1,1,PAZYMINO,6.153424658,Control
S1-12-08,H,1,PAZYMINO,1,1,PAZYMINO,6.153424658,Control
S1-12-10,H,1,PAZYMINO,1,1,PAZYMINO,7.997260274,Control
S1-12-11,H,1,PAZYMINO,1,1,PAZYMINO,6.049315068,Control
S1-12-12,H,1,PAZYMINO,1,1,PAZYMINO,6.652054795,Control
S1-12-13,H,1,PAZYMINO,1,1,PAZYMINO,6.501369863,Control
S1-12-15,H,1,PAZYMINO,1,1,PAZYMINO,6.936986301,Control
S1-14-01,H,1,ROSA,1,1,ROSA,6.761643836,Control
S1-14-02,B,1,ROSA,1,1,ROSA,6.526027397,Control
S1-14-07,H,1,ROSA,1,1,ROSA,6.484931507,Control
S1-14-09,M,1,ROSA,1,1,ROSA,6.769863014,Control
S1-14-11,B,1,ROSA,1,1,ROSA,6.515068493,Control
S1-14-12,W,1,ROSA,1,1,ROSA,6.265753425,Control
S1-14-14,B,1,ROSA,1,1,ROSA,6.2,Control
S1-14-15,H,1,ROSA,1,1,ROSA,6.175342466,Control
S1-14-17,M,1,ROSA,1,1,ROSA,5.975342466,Control
S1-15-01,B,1,TRIANO,1,1,TRIANO,6.438356164,MA
S1-15-02,B,1,TRIANO,1,1,TRIANO,6.194520548,MA
S1-15-04,B,1,TRIANO,1,1,TRIANO,6.17260274,MA
