SubjectID,Ethnicity,Grade_2015,Room_2015,Consent_2015,Done_2015,Room_2016,Age_T1,Group
S1-15-05,A,1,TRIANO,1,1,TRIANO,6.389041096,MA
S1-15-08,B,1,TRIANO,1,1,TRIANO,6.712328767,MA
S1-15-09,H,1,TRIANO,1,1,TRIANO,6.693150685,MA
S1-15-10,A,1,TRIANO,1,1,TRIANO,5.942465753,MA
S1-15-11,B,1,TRIANO,1,1,TRIANO,6.208219178,MA
S2-03-01,B,2,CHUN,1,1,CHUN,7.673972603,MA
S2-03-02,H,2,CHUN,1,1,CHUN,7.860273973,MA
S2-03-03,B,2,CHUN,1,1,CHUN,7.750684932,MA
S2-03-04,B,2,CHUN,1,1,CHUN,7.673972603,MA
S2-03-13,B,2,CHUN,1,1,CHUN,7.797260274,MA
S2-04-01,H,2,CSASZAR,1,1,CSASZAR,7.178082192,MA
S2-04-05,H,2,CSASZAR,1,1,CSASZAR,7.457534247,MA
S2-04-07,H,2,CSASZAR,1,1,CSASZAR,7.202739726,MA
S2-04-08,H,2,CSASZAR,1,1,CSASZAR,7.849315068,MA
S2-04-09,H,2,CSASZAR,1,1,CSASZAR,7.715068493,MA
S2-04-10,M,2,CSASZAR,1,1,CSASZAR,7.005479452,MA
S2-04-11,B,2,CSASZAR,1,1,CSASZAR,7.750684932,MA
S2-04-12,B,2,CSASZAR,1,1,CSASZAR,7.830136986,MA
S2-04-16,B,2,CSASZAR,1,1,CSASZAR,7.238356164,MA
S2-04-17,B,2,CSASZAR,1,1,CSASZAR,7.536986301,MA
S2-04-18,H,2,CSASZAR,1,1,CSASZAR,7.405479452,MA
S2-05-02,B,2,D'IZZIA/JANO,1,1,D'IZZIA/JANO,7.353424658,MA
S2-08-01,H,2,HEREDIA,1,1,HEREDIA,9.194520548,Control
S2-08-03,H,2,HEREDIA,1,1,HEREDIA,7.835616438,Control
S2-09-05,H,2,HUNTER/PIERIES,1,1,HUNTER/PIERIES,7.446575342,Control
S2-09-07,B,2,HUNTER/PIERIES,1,1,HUNTER/PIERIES,7.010958904,Control
S2-09-08,H,2,HUNTER/PIERIES,1,1,HUNTER/PIERIES,7.947945205,Control
S2-09-10,B,2,HUNTER/PIERIES,1,1,HUNTER/PIERIES,7.545205479,Control
S2-09-13,B,2,HUNTER/PIERIES,1,1,HUNTER/PIERIES,7.832876712,Control
S2-09-14,H,2,HUNTER/PIERIES,1,1,HUNTER/PIERIES,7.457534247,Control
S2-09-19,A,2,HUNTER/PIERIES,1,1,HUNTER/PIERIES,7.77260274,Control
S2-09-20,A,2,HUNTER/PIERIES,1,1,HUNTER/PIERIES,8.002739726,Control
S2-10-02,M,2,KANE,1,1,KANE,7.356164384,Control
S2-10-03,H,2,KANE,1,1,KANE,7.849315068,Control
S2-10-05,B,2,KANE,1,1,KANE,7.038356164,Control
S2-10-10,W,2,KANE,1,1,KANE,7.794520548,Control
S2-10-11,B,2,KANE,1,1,KANE,7.408219178,Control
S2-10-13,H,2,KANE,1,1,KANE,8.367123288,Control
S2-10-14,B,2,KANE,1,1,KANE,7.742465753,Control
S2-10-15,H,2,KANE,1,1,KANE,7.580821918,Control
S2-10-18,M,2,KANE,1,1,KANE,7.504109589,Control
S2-10-20,M,2,KANE,1,1,KANE,7.630136986,Control
S2-13-01,H,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.317808219,Control
S2-13-02,W,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.02739726,Control
S2-13-04,A,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.479452055,Control
S2-13-05,B,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.21369863,Control
S2-13-06,H,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.709589041,Control
S2-13-09,B,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.484931507,Control
S2-13-12,B,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.44109589,Control
S2-13-15,B,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.939726027,Control
S2-13-18,W,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.734246575,Control
S2-13-19,H,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.304109589,Control
S2-13-20,B,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.693150685,Control
S2-13-21,M,2,MEJIA/BRADBURY,1,1,MEJIA/BRADBURY,7.35890411,Control
S2-16-01,M,2,PERRY/KEENAN,1,1,PERRY/KEENAN,7.164383562,MA
S2-16-05,M,2,PERRY/KEENAN,1,1,PERRY/KEENAN,7.610958904,MA
S2-16-07,B,2,PERRY/KEENAN,1,1,PERRY/KEENAN,7.84109589,MA
S2-16-08,B,2,PERRY/KEENAN,1,1,PERRY/KEENAN,8.002739726,MA
S2-16-09,H,2,PERRY/KEENAN,1,1,PERRY/KEENAN,7.273972603,MA
S2-16-11,B,2,PERRY/KEENAN,1,1,PERRY/KEENAN,7.052054795,MA
S2-16-14,H,2,PERRY/KEENAN,1,1,PERRY/KEENAN,7.301369863,MA
S2-16-15,H,2,PERRY/KEENAN,1,1,PERRY/KEENAN,7.624657534,MA
S2-16-17,B,2,PERRY/KEENAN,1,1,PERRY/KEENAN,7.01369863,MA
S2-16-18,B,2,PERRY/KEENAN,1,1,PERRY/KEENAN,8.635616438,MA
S2-16-19,W,2,PERRY/KEENAN,1,1,PERRY/KEENAN,7.635616438,MA
S2-16-20,M,2,PERRY/KEENAN,1,1,PERRY/KEENAN,7.893150685,MA
S2-17-02,H,2,RENTAS,1,1,RENTAS,7.112328767,MA
S2-17-03,B,2,RENTAS,1,1,RENTAS,7.180821918,MA
S2-17-04,H,2,RENTAS,1,1,RENTAS,7.287671233,MA
S2-17-05,H,2,RENTAS,1,1,RENTAS,8.424657534,MA
S2-17-06,M,2,RENTAS,1,1,RENTAS,7.095890411,MA
S2-17-07,H,2,RENTAS,1,1,RENTAS,7.515068493,MA
S2-17-08,M,2,RENTAS,1,1,RENTAS,7.194520548,MA
S2-17-09,H,2,RENTAS,1,1,RENTAS,7.038356164,MA
S2-17-10,H,2,RENTAS,1,1,RENTAS,6.980821918,MA
S2-17-11,H,2,RENTAS,1,1,RENTAS,7.191780822,MA
S2-17-12,H,2,RENTAS,1,1,RENTAS,7.520547945,MA
S2-17-13,H,2,RENTAS,1,1,RENTAS,7.208219178,MA
S2-17-14,B,2,RENTAS,1,1,RENTAS,7.482191781,MA
S2-17-15,M,2,RENTAS,1,1,RENTAS,7.282191781,MA
S2-17-16,H,2,RENTAS,1,1,RENTAS,7.501369863,MA
S2-17-17,H,2,RENTAS,1,1,RENTAS,6.947945205,MA
S2-17-19,H,2,RENTAS,1,1,RENTAS,7.230136986,MA
S2-18-01,B,2,WOODING,1,1,CHUN,7.463013699,MA
S2-18-02,B,2,WOODING,1,1,CHUN,6.997260274,MA
S2-18-06,B,2,WOODING,1,1,CLARKE,7.084931507,MA
S2-18-07,H,2,WOODING,1,1,CLARKE,7.356164384,MA
S2-18-09,B,2,WOODING,1,1,CLARKE,7.052054795,MA
S2-18-10,B,2,WOODING,1,1,CLARKE,7.509589041,MA
S2-18-11,B,2,WOODING,1,1,CLARKE,7.339726027,MA
S2-18-12,B,2,WOODING,1,1,KANE,7.720547945,MA
S2-18-13,B,2,WOODING,1,1,CLARKE,7.408219178,MA
S2-18-15,H,2,WOODING,1,1,CLARKE,7.630136986,MA
S2-18-16,B,2,WOODING,1,1,CLARKE,7.673972603,MA
S2-18-17,H,2,WOODING,1,1,CLARKE,8.249315068,MA
S2-18-19,H,2,WOODING,1,1,CLARKE,7.860273973,MA
S2-18-20,A,2,WOODING,1,1,CLARKE,7.005479452,MA
S2-19-01,H,2,ZORRILLA,1,1,ZORRILLA,7.824657534,Control
S2-19-03,H,2,ZORRILLA,1,1,ZORRILLA,7.493150685,Control
S2-19-04,B,2,ZORRILLA,1,1,ZORRILLA,7.402739726,Control
S2-19-05,H,2,ZORRILLA,1,1,ZORRILLA,7.087671233,Control
S2-19-06,H,2,ZORRILLA,1,1,ZORRILLA,7.076712329,Control
S2-19-07,H,2,ZORRILLA,1,1,ZORRILLA,6.942465753,Control
S2-19-08,H,2,ZORRILLA,1,1,ZORRILLA,7.295890411,Control
S2-19-09,H,2,ZORRILLA,1,1,ZORRILLA,7.032876712,Control
S2-19-11,H,2,ZORRILLA,1,1,ZORRILLA,7.071232877,Control
S2-19-12,B,2,ZORRILLA,1,1,ZORRILLA,7.515068493,Control
S2-19-13,H,2,ZORRILLA,1,1,ZORRILLA,7.517808219,Control
S2-19-14,M,2,ZORRILLA,1,1,ZORRILLA,7.649315068,Control
S2-19-18,H,2,ZORRILLA,1,1,ZORRILLA,8.01369863,Control
